id,name,created_at,advertisers_entities.id,entities.short_name,entities.is_active,entities.is_political,countries.name,countries.alpha2,advertisers_platforms.advertiser_platform_ref,advertisers_platforms.advertiser_platform_name,platforms.name
d44ecdb9-8617-487b-9130-6d62a6efa63e,Социјалдемократски сојуз на Македонија,2022-08-16T15:24:30.306Z,49806460-d506-478f-8273-37ed5daa9e7f,SDSM,true,true,North Macedonia,mk,148427235188637,Социјалдемократски сојуз на Македонија,Facebook
83909b1f-872d-44f6-9b84-a1d9cebd4969,Внатрешна македонска револуционерна организација,2022-08-16T15:24:30.292Z,6eaca396-fff2-478f-bac6-1d6f02a2d1aa,VMRO,true,true,North Macedonia,mk,455460591137260,Внатрешна македонска револуционерна организација,Facebook
0a463938-a095-40cf-954b-16e520cbdd38,Демократска унија за интеграција,2022-08-16T15:24:30.368Z,9c8f9e67-07f5-4bc8-962b-7ccea4ad4450,DUI,true,true,North Macedonia,mk,111376432213916,Демократска унија за интеграција,Facebook
